episode,left_count,right_count,left_fraction,right_fraction
1,17,19,0.4722222222222222,0.5277777777777778
2,18,10,0.6428571428571429,0.35714285714285715
3,6,9,0.4,0.6
4,2,10,0.16666666666666666,0.8333333333333334
5,30,24,0.5555555555555556,0.4444444444444444
6,17,11,0.6071428571428571,0.39285714285714285
7,3,9,0.25,0.75
8,11,12,0.4782608695652174,0.5217391304347826
9,9,12,0.42857142857142855,0.5714285714285714
10,16,13,0.5517241379310345,0.4482758620689655
11,12,6,0.6666666666666666,0.3333333333333333
12,8,7,0.5333333333333333,0.4666666666666667
13,10,3,0.7692307692307693,0.23076923076923078
14,19,13,0.59375,0.40625
15,9,15,0.375,0.625
16,8,8,0.5,0.5
17,18,23,0.43902439024390244,0.5609756097560976
18,3,10,0.23076923076923078,0.7692307692307693
19,18,15,0.5454545454545454,0.45454545454545453
20,9,6,0.6,0.4
21,12,13,0.48,0.52
22,13,12,0.52,0.48
23,7,6,0.5384615384615384,0.46153846153846156
24,27,27,0.5,0.5
25,9,9,0.5,0.5
26,19,16,0.5428571428571428,0.45714285714285713
27,11,16,0.4074074074074074,0.5925925925925926
28,7,4,0.6363636363636364,0.36363636363636365
29,11,13,0.4583333333333333,0.5416666666666666
30,29,30,0.4915254237288136,0.5084745762711864
31,9,8,0.5294117647058824,0.47058823529411764
32,8,11,0.42105263157894735,0.5789473684210527
33,22,21,0.5116279069767442,0.4883720930232558
34,11,7,0.6111111111111112,0.3888888888888889
35,4,8,0.3333333333333333,0.6666666666666666
36,12,14,0.46153846153846156,0.5384615384615384
37,9,9,0.5,0.5
38,8,7,0.5333333333333333,0.4666666666666667
39,11,10,0.5238095238095238,0.47619047619047616
40,6,11,0.35294117647058826,0.6470588235294118
41,12,14,0.46153846153846156,0.5384615384615384
42,33,33,0.5,0.5
43,16,15,0.5161290322580645,0.4838709677419355
44,53,51,0.5096153846153846,0.49038461538461536
45,16,11,0.5925925925925926,0.4074074074074074
46,7,11,0.3888888888888889,0.6111111111111112
47,22,20,0.5238095238095238,0.47619047619047616
48,16,12,0.5714285714285714,0.42857142857142855
49,9,8,0.5294117647058824,0.47058823529411764
50,10,9,0.5263157894736842,0.47368421052631576
51,40,36,0.5263157894736842,0.47368421052631576
52,16,15,0.5161290322580645,0.4838709677419355
53,7,10,0.4117647058823529,0.5882352941176471
54,22,23,0.4888888888888889,0.5111111111111111
55,10,7,0.5882352941176471,0.4117647058823529
56,24,19,0.5581395348837209,0.4418604651162791
57,38,31,0.5507246376811594,0.4492753623188406
58,30,31,0.4918032786885246,0.5081967213114754
59,9,10,0.47368421052631576,0.5263157894736842
60,25,34,0.423728813559322,0.576271186440678
61,32,33,0.49230769230769234,0.5076923076923077
62,15,14,0.5172413793103449,0.4827586206896552
63,9,10,0.47368421052631576,0.5263157894736842
64,52,56,0.48148148148148145,0.5185185185185185
65,29,27,0.5178571428571429,0.48214285714285715
66,4,11,0.26666666666666666,0.7333333333333333
67,9,9,0.5,0.5
68,25,25,0.5,0.5
69,40,40,0.5,0.5
70,59,63,0.48360655737704916,0.5163934426229508
71,58,53,0.5225225225225225,0.4774774774774775
72,47,48,0.49473684210526314,0.5052631578947369
73,12,5,0.7058823529411765,0.29411764705882354
74,19,17,0.5277777777777778,0.4722222222222222
75,7,4,0.6363636363636364,0.36363636363636365
76,61,60,0.5041322314049587,0.49586776859504134
77,44,48,0.4782608695652174,0.5217391304347826
78,100,91,0.5235602094240838,0.47643979057591623
79,4,9,0.3076923076923077,0.6923076923076923
80,62,68,0.47692307692307695,0.5230769230769231
81,50,45,0.5263157894736842,0.47368421052631576
82,51,45,0.53125,0.46875
83,22,15,0.5945945945945946,0.40540540540540543
84,39,45,0.4642857142857143,0.5357142857142857
85,29,18,0.6170212765957447,0.3829787234042553
86,81,79,0.50625,0.49375
87,64,66,0.49230769230769234,0.5076923076923077
88,14,13,0.5185185185185185,0.48148148148148145
89,52,49,0.5148514851485149,0.48514851485148514
90,13,11,0.5416666666666666,0.4583333333333333
91,49,52,0.48514851485148514,0.5148514851485149
92,6,9,0.4,0.6
93,23,17,0.575,0.425
94,11,10,0.5238095238095238,0.47619047619047616
95,43,38,0.5308641975308642,0.4691358024691358
96,11,19,0.36666666666666664,0.6333333333333333
97,49,49,0.5,0.5
98,110,110,0.5,0.5
99,83,81,0.5060975609756098,0.49390243902439024
100,7,7,0.5,0.5
101,46,45,0.5054945054945055,0.4945054945054945
102,13,9,0.5909090909090909,0.4090909090909091
103,53,50,0.5145631067961165,0.4854368932038835
